case_code,date,year,month,day,hour,zip_code,escalated,mobile,city,state,location_primary,school_level,offender_count,relationship,weapon_primary,weapon_pistol_tot,weapon_shotgun_tot,weapon_rifle_tot,weapon_tot,shot_tot,shot_tot_incl,shot_cit_tot,shot_le_tot,shot_guard_tot,wound_tot,wound_tot_incl,wound_cit_tot,wound_le_tot,wound_guard_tot,kill_tot,kill_tot_incl,kill_cit_tot,kill_le_tot,kill_guard_tot,resolution,resolved_pre_le,age_1,age_2,age_3,sex_1,sex_2,sex_3,race_1,race_2,race_3
293,2017-12-15,2017,Dec,Fri,14,21217,No,Yes,Baltimore,MD,Outdoors,,1,No relationship,Rifle,1,0,1,2,3,3,2,1,0,3,3,2,1,0,0,0,0,0,0,Subdued by citizens,No,30,,,Male,,,African American,,
294,2017-12-20,2017,Dec,Wed,14,45229,No,No,Cincinnati,OH,Other,,1,No relationship,Pistol,2,0,0,2,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,Suicide after police arrival,No,20,,,Male,,,African American,,
295,2018-01-23,2018,Jan,Tue,7,42025,No,No,Benton,KY,School,High school,1,Student,Pistol,1,0,0,1,16,23,16,0,0,14,21,14,0,0,2,2,2,0,0,Subdued by police,No,15,,,Male,,,Caucasian,,
296,2018-02-07,2018,Feb,Wed,19,78401,No,No,Corpus Christi,TX,Other,,1,No relationship,Knife,0,0,0,1,0,0,0,0,0,3,,3,0,0,1,,1,0,0,Subdued by citizens,Yes,28,,,Male,,,Latino,,
297,2018-02-14,2018,Feb,Wed,14,33067,No,No,Parkland,FL,School,High school,1,Student,Rifle,0,0,1,1,34,34,34,0,0,17,17,17,0,0,17,17,17,0,0,Fled,Yes,19,,,Male,,,Latino,,
298,2018-03-07,2018,Mar,Wed,6,36860,No,No,Hurtsboro,AL,Business,,1,No relationship,Rifle,0,0,1,1,4,4,4,0,0,2,2,2,0,0,2,2,2,0,0,Fled,Yes,64,,,Male,,,Caucasian,,
299,2018-03-22,2018,Mar,Thu,2,77030,No,No,Houston,TX,Outdoors,,1,No relationship,Vehicle,0,0,0,0,0,0,0,0,0,2,,2,0,0,1,,1,0,0,Surrendered,No,25,,,Male,,,African American,,
300,2018-04-03,2018,Apr,Tue,12,94066,No,No,San Bruno,CA,Business,,1,No relationship,Pistol,1,0,0,1,3,4,3,0,0,3,4,3,0,0,0,0,0,0,0,Suicide before police arrival,Yes,39,,,Female,,,Middle Eastern,,
301,2018-04-07,2018,Apr,Sat,16,46217,No,No,Indianapolis,IN,Outdoors,,1,No relationship,Knife,0,0,0,1,0,0,0,0,0,3,,3,0,0,0,,0,0,0,Subdued by citizens,Yes,57,,,Male,,,African American,,
302,2018-04-22,2018,Apr,Sun,3,37011,No,No,Nashville,TN,Business,,1,No relationship,Rifle,0,0,1,1,6,8,6,0,0,2,4,2,0,0,4,4,4,0,0,Subdued by citizens,Yes,29,,,Male,,,Caucasian,,
303,2018-05-04,2018,May,Fri,11,30501,No,No,Gainesville,GA,Outdoors,,1,No relationship,Pistol,1,0,0,1,2,3,2,0,0,2,3,2,0,0,0,0,0,0,0,Fled,Yes,26,,,Male,,,Caucasian,,
304,2018-05-11,2018,May,Fri,21,47708,No,No,Evansville,IN,Outdoors,,1,No relationship,Rifle,0,1,1,2,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,Shot by police,No,51,,,Male,,,Caucasian,,
305,2018-05-16,2018,May,Wed,8,61021,No,No,Dixon,IL,School,High school,1,Student,Rifle,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shot by police,No,19,,,Male,,,Caucasian,,
306,2018-05-18,2018,May,Fri,7,77510,No,No,Santa Fe,TX,School,High school,1,Student,Shotgun,1,1,0,2,22,22,21,1,0,12,12,11,1,0,10,10,10,0,0,Shot by police,No,17,,,Male,,,Caucasian,,
307,2018-05-24,2018,May,Thu,18,73009,No,No,Oklahoma City,OK,Business,,1,No relationship,Pistol,1,0,0,1,3,4,3,0,0,3,4,3,0,0,0,0,0,0,0,Shot by citizen,Yes,28,,,Male,,,Caucasian,,
308,2018-05-25,2018,May,Fri,9,46060,No,No,Noblesville,IN,School,Middle school,1,Student,Pistol,2,0,0,3,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,Subdued by citizens,Yes,13,,,Male,,,Caucasian,,
309,2018-06-13,2018,Jun,Wed,13,98121,No,No,Seattle,WA,Outdoors,,1,No relationship,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fled,Yes,,,,Male,,,,,
310,2018-06-29,2018,Jun,Fri,14,21401,No,No,Annapolis,MD,Business,,1,No relationship,Shotgun,0,1,0,1,7,7,7,0,0,2,2,2,0,0,5,5,5,0,0,Subdued by police,No,38,,,Male,,,Caucasian,,
311,2018-07-01,2018,Jul,Sun,20,83701,No,No,Boise,ID,Other,,1,No relationship,Knife,0,0,0,1,0,0,0,0,0,9,,9,0,0,0,,0,0,0,Fled,Yes,30,,,Male,,,African American,,
312,2018-07-05,2018,Jul,Thu,0,23451,No,No,Virginia Beach,VA,Outdoors,,1,No relationship,Pistol,1,0,0,1,6,6,6,0,0,6,6,6,0,0,0,0,0,0,0,Fled,Yes,21,,,Male,,,African American,,
313,2018-08-14,2018,Aug,Tue,18,19095,No,No,Wyncote,PA,Business,,1,No relationship,Pistol,1,0,0,1,5,5,5,0,0,5,5,5,0,0,0,0,0,0,0,Fled,Yes,30,,,Male,,,African American,,
314,2018-08-20,2018,Aug,Mon,2,77459,No,No,Missouri City,TX,Business,,1,Coworker,Pistol,1,0,0,1,2,2,2,0,0,1,1,1,0,0,1,1,1,0,0,Suicide after police arrival,No,38,,,Female,,,Latino,,
315,2018-08-24,2018,Aug,Fri,12,89054,No,No,Las Vegas,NV,Outdoors,,1,No relationship,Knife,0,0,0,1,0,0,0,0,0,2,,2,0,0,0,,0,0,0,Shot by police,No,38,,,Male,,,Caucasian,,
316,2018-08-26,2018,Aug,Sun,13,32202,Yes,No,Jacksonville,FL,Business,,1,No relationship,Pistol,2,0,0,2,11,13,11,0,0,9,11,9,0,0,2,2,2,0,0,Suicide before police arrival,Yes,24,,,Male,,,Caucasian,,
317,2018-09-06,2018,Sep,Thu,9,45263,No,No,Cincinnati,OH,Business,,1,No relationship,Pistol,1,0,0,1,5,5,5,0,0,2,2,2,0,0,3,3,3,0,0,Shot by police,No,29,,,Male,,,Latino,,
318,2018-09-12,2018,Sep,Wed,17,93203,No,Yes,Bakersfield,CA,Business,,1,No relationship,Pistol,1,0,0,1,5,5,5,0,0,0,0,0,0,0,5,5,5,0,0,Fled,Yes,54,,,Male,,,Latino,,
319,2018-09-19,2018,Sep,Wed,10,53562,No,No,Middleton,WI,Business,,1,Coworker,Pistol,1,0,0,1,4,4,4,0,0,4,4,4,0,0,0,0,0,0,0,Shot by police,No,43,,,Male,,,Asian,,
320,2018-09-19,2018,Sep,Wed,14,15461,No,No,Masontown,PA,Other,,1,No relationship,Pistol,1,0,0,1,4,4,3,1,0,4,4,3,1,0,0,0,0,0,0,Shot by police,No,61,,,Male,,,Caucasian,,
321,2018-09-20,2018,Sep,Thu,9,21001,No,No,Aberdeen,MD,Business,,1,Coworker,Pistol,1,0,0,1,6,6,6,0,0,3,3,3,0,0,3,3,3,0,0,Suicide before police arrival,Yes,26,,,Female,,,African American,,
322,2018-09-21,2018,Sep,Fri,3,11355,No,No,New York City,NY,Business,,1,Coworker,Knife,0,0,0,2,0,0,0,0,0,5,,5,0,0,0,,0,0,0,Suicide before police arrival,Yes,52,,,Female,,,Asian,,
323,2018-10-24,2018,Oct,Wed,15,40269,No,No,Jeffersontown,KY,Business,,1,No relationship,Pistol,1,0,0,1,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,Fled,Yes,51,,,Male,,,Caucasian,,
324,2018-10-27,2018,Oct,Sat,9,15217,No,No,Pittsburgh,PA,Other,,1,No relationship,Rifle,3,0,1,4,16,17,13,3,0,5,6,2,3,0,11,11,11,0,0,Shot by police,No,46,,,Male,,,Caucasian,,
325,2018-11-02,2018,Nov,Fri,17,32301,No,No,Tallahassee,FL,Business,,1,No relationship,Pistol,1,0,0,1,6,7,6,0,0,4,5,4,0,0,2,2,2,0,0,Suicide before police arrival,Yes,40,,,Male,,,Caucasian,,
326,2018-11-05,2018,Nov,Mon,1,94901,No,No,San Rafael,CA,Other,,1,Indirect,Pistol,1,0,0,1,3,3,3,0,0,2,2,2,0,0,1,1,1,0,0,Fled,Yes,37,,,Male,,,African American,,
327,2018-11-07,2018,Nov,Wed,23,91320,No,No,Thousand Oaks,CA,Business,,1,No relationship,Pistol,1,0,0,2,12,28,12,0,0,1,16,1,0,0,11,12,11,0,0,Suicide after police arrival,No,28,,,Male,,,Caucasian,,
